사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2023120600100283,2023년 12월 6일 15시,수요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,흐림,기타 - 기타,승용,남,22세,상해없음,승용,여,25세,경상
2023120600100425,2023년 12월 6일 18시,수요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,흐림,단일로 - 기타,화물,남,53세,상해없음,이륜,남,27세,경상
2023120600100438,2023년 12월 6일 18시,수요일,경기도 수원시 영통구 영통동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,젖음/습기,비,교차로 - 교차로안,승용,여,41세,상해없음,승용,남,55세,경상
2023120600100442,2023년 12월 6일 18시,수요일,경기도 수원시 팔달구 고등동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,38세,상해없음,보행자,여,69세,경상
2023120600100503,2023년 12월 6일 19시,수요일,경기도 수원시 장안구 정자동,부상신고사고,0,0,0,3,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,승용,남,34세,부상신고
2023120600100581,2023년 12월 6일 22시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,23세,경상
2023120700100093,2023년 12월 7일 08시,목요일,경기도 수원시 권선구 고색동,부상신고사고,0,0,0,1,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,자전거,남,26세,부상신고,승용,여,46세,상해없음
2023120700100125,2023년 12월 7일 09시,목요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,64세,상해없음,자전거,여,56세,경상
2023120700100152,2023년 12월 7일 10시,목요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,38세,상해없음,승용,여,51세,경상
2023120700100183,2023년 12월 7일 11시,목요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,29세,상해없음,승용,남,59세,경상
2023120700100241,2023년 12월 7일 13시,목요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,64세,상해없음,보행자,여,41세,경상
2023120700100243,2023년 12월 7일 13시,목요일,경기도 수원시 영통구 영통동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,42세,상해없음,이륜,남,26세,중상
2023120700100244,2023년 12월 7일 13시,목요일,경기도 수원시 권선구 서둔동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,73세,상해없음,화물,남,42세,경상
2023120700100276,2023년 12월 7일 14시,목요일,경기도 수원시 권선구 서둔동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,33세,상해없음,자전거,남,71세,중상
2023120700100432,2023년 12월 7일 18시,목요일,경기도 수원시 장안구 조원동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,31세,상해없음,승용,여,55세,경상
2023120700100438,2023년 12월 7일 18시,목요일,경기도 수원시 권선구 곡반정동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,남,57세,상해없음,이륜,남,26세,경상
2023120700100439,2023년 12월 7일 18시,목요일,경기도 수원시 영통구 매탄동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,29세,상해없음,보행자,남,34세,경상
2023120700100440,2023년 12월 7일 18시,목요일,경기도 수원시 영통구 매탄동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,32세,기타불명,승용,남,48세,경상
2023120700100492,2023년 12월 7일 19시,목요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,51세,상해없음,보행자,남,49세,경상
2023120700100498,2023년 12월 7일 19시,목요일,경기도 수원시 영통구 하동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,보행자,여,35세,경상
2023120700100499,2023년 12월 7일 19시,목요일,경기도 수원시 권선구 대황교동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,건설기계,남,56세,상해없음,승용,남,32세,경상
2023120700100530,2023년 12월 7일 20시,목요일,경기도 수원시 영통구 원천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,승용,여,32세,경상
